,1,ADMINISTRACIÓN Y MANEJO DE PERSONAL,A,VIERNES/18-21/F5,Unnamed: 4,Unnamed: 5,ALDELMO EMMANUEL ISRAEL REYES PABLO
119,119.0,QUÍMICA GENERAL,B-IX,JUEVES/10-12/F5,VIERNES/10-11/F5,MIÉRCOLES/9-12/LAB. DE QUÍMICA,IRAIS AMARANTA QUINTERO ORTEGA/MARÍA DE LOS ÁNGELES MENDOZA
120,120.0,QUÍMICA GENERAL,B-VII,JUEVES/10-12/F5,VIERNES/10-11/F5,VIERNES/11-14/LAB. DE QUÍMICA,IRAIS AMARANTA QUINTERO ORTEGA/SUSANA FIGUEROA GERSTENMAIER
121,121.0,QUÍMICA GENERAL,C-I,LUNES/14-15/F2,MIÉRCOLES/14-16/F2,LUNES/8-11/LAB. DE QUÍMICA,MARÍA CONCEPCIÓN GARCÍA CASTAÑEDA/CHRISTIAN GÓMEZ SOLÍS
122,122.0,QUÍMICA GENERAL,C-II,LUNES/14-15/F2,MIÉRCOLES/14-16/F2,LUNES/11-14/LAB. DE QUÍMICA,MARÍA CONCEPCIÓN GARCÍA CASTAÑEDA/JOSÉ ANTONIO REYES AGUILERA
123,123.0,QUÍMICA GENERAL,C-VII,LUNES/14-15/F2,MIÉRCOLES/14-16/F2,VIERNES/11-14/LAB. DE QUÍMICA,MARÍA CONCEPCIÓN GARCÍA CASTAÑEDA/SUSANA FIGUEROA GERSTENMAIER
124,124.0,QUÍMICA GENERAL,D-VI,MARTES/8-10/F2,JUEVES/9-10/F2,VIERNES/8-11/LAB. DE QUÍMICA,MARÍA DE LOS ÁNGELES MENDOZA/ÉDGAR VÁZQUEZ NÚÑEZ
125,125.0,QUÍMICA GENERAL,D-VIII,MARTES/8-10/F2,JUEVES/9-10/F2,VIERNES/14-17/LAB. DE QUÍMICA,MARÍA DE LOS ÁNGELES MENDOZA/JOSÉ ANTONIO REYES AGUILERA
126,126.0,RADIOLOGÍA,A,LUNES/14-17/F7,MIÉRCOLES/14-17/F7,,PABLO VÍCTOR CERÓN RAMÍREZ
127,127.0,RELATIVIDAD GENERAL,A,MARTES/17-19/F6,JUEVES/17-19/F6,,FRANCISCO XAVIER LINARES CEDEÑO
128,128.0,SEGURIDAD E HIGIENE LABORAL,A,LUNES/15-18/F2,,,ÉDGAR VÁZQUEZ NÚÑEZ
129,129.0,SEGURIDAD EN EQUIPO MÉDICO,A,SÁBADO/9-15/F1,,,JOSÉ GONZÁLEZ CRUZ
130,130.0,SÍNTESIS DE POLÍMEROS,A,MARTES/19-21/C3,JUEVES/19-21/C3,,RAMÓN OCTAVIO SIERRA LUNA
131,131.0,TALLER DE FORMACIÓN INTEGRAL I,A,VIERNES/12-15/C3,,,YOLANDA GUEVARA REYES
132,132.0,TALLER DE HERRAMIENTAS PARA EL APRENDIZAJE,A,MARTES/15-18/ F9,,,DELIA IRAZÚ HERNÁNDEZ FARÍAS
133,133.0,TEMAS SELECTOS DE FÍSICA (ANÁLISIS DE DATOS),B,PENDIENTE,,,ALMA XÓCHTIL GONZÁLEZ MORALES
134,134.0,TEORÍA CUÁNTICA DE CAMPOS,A,LUNES/16-18/C3,JUEVES/16-18/C3,,CARLOS ALBERTO VAQUERA ARAUJO
135,135.0,TERMODINÁMICA,A-I,LUNES/10-12/F7,JUEVES/11-13/F7,MARTES/11-13/LAB. DE QUÍMICA,ALEJANDRO GIL VILLEGAS MONTIEL/LAURA ELENA PUENTES PRADO
136,136.0,TERMODINÁMICA,A-IV,LUNES/10-12/F7,JUEVES/11-13/F7,JUEVES/14-16/LAB. DE QUÍMICA,ALEJANDRO GIL VILLEGAS MONTIEL/EMMANUEL RIVERA PÉREZ
137,137.0,TERMODINÁMICA,B-II,MARTES/12-14/C2,VIERNES/12-14/C2,MIÉRCOLES/8-10/LAB. DE FÍSICA,RAMÓN CASTAÑEDA PRIEGO/JUAN FRANCISCO RAYAS ROJAS
138,138.0,TERMODINÁMICA,B-III,MARTES/12-14/C2,VIERNES/12-14/C2,MIÉRCOLES/12-14/LAB. DE FÍSICA,RAMÓN CASTAÑEDA PRIEGO/EMMANUEL RIVERA PÉREZ
139,139.0,TERMODINÁMICA,B-IV,MARTES/12-14/C2,VIERNES/12-14/C2,JUEVES/14-16/LAB. DE QUÍMICA,RAMÓN CASTAÑEDA PRIEGO/EMMANUEL RIVERA PÉREZ
